,property-type,rooms-number,area,open-fire,terrace-area,terrace,garden ,garden-area,swimming-pool,price,type,zip-code,region,equipped-kitchen,building-state,facades-number
146,HOUSE,7,687,False,1.0,True,True,1,True,1580000.0,HOUSE,1180,Uccle,HYPER_EQUIPPED,AS_NEW,4.0
149,HOUSE,4,198,False,50.0,True,True,1050,False,378000.0,HOUSE,7533,Tournai,INSTALLED,GOOD,3.0
172,HOUSE,3,173,False,12.0,True,True,47,False,450000.0,HOUSE,1800,Koningslo,USA_INSTALLED,AS_NEW,2.0
196,HOUSE,4,147,False,16.0,True,True,130,False,325000.0,HOUSE,3370,Boutersem,INSTALLED,GOOD,2.0
197,HOUSE,3,187,False,49.0,True,True,1165,False,445000.0,HOUSE,3401,Landen,INSTALLED,GOOD,4.0
233,HOUSE,3,156,False,10.0,True,True,402,False,359000.0,HOUSE,9100,Sint-Niklaas,SEMI_EQUIPPED,TO_RENOVATE,4.0
241,VILLA,4,170,True,30.0,True,True,1000,True,595000.0,HOUSE,1320,Beauvechain,USA_HYPER_EQUIPPED,AS_NEW,4.0
264,HOUSE,4,200,False,28.0,True,True,54,False,304000.0,HOUSE,7060,Soignies,HYPER_EQUIPPED,AS_NEW,2.0
269,HOUSE,3,160,False,25.0,True,True,400,False,625000.0,HOUSE,1640,Rhode-Saint-Genese,INSTALLED,GOOD,4.0
270,VILLA,3,254,False,50.0,True,True,1600,True,750000.0,HOUSE,7540,Kain,HYPER_EQUIPPED,AS_NEW,4.0
282,HOUSE,5,265,True,80.0,True,True,1300,False,579000.0,HOUSE,5150,Floreffe,HYPER_EQUIPPED,AS_NEW,4.0
327,VILLA,4,180,False,57.0,True,True,600,False,560000.0,HOUSE,9820,Merelbeke,INSTALLED,GOOD,4.0
391,HOUSE,3,211,False,20.0,True,True,755,False,695000.0,HOUSE,2520,Ranst,USA_HYPER_EQUIPPED,JUST_RENOVATED,4.0
432,HOUSE,4,300,True,1.0,True,True,1,False,850000.0,HOUSE,1640,Rhode-Saint-Genèse,USA_HYPER_EQUIPPED,GOOD,4.0
440,HOUSE,4,350,True,36.0,True,True,270,True,1750000.0,HOUSE,1180,Uccle,HYPER_EQUIPPED,GOOD,3.0
445,HOUSE,4,140,False,9.0,True,True,120,False,499000.0,HOUSE,1160,Auderghem,SEMI_EQUIPPED,TO_BE_DONE_UP,2.0
471,HOUSE,3,176,True,20.0,True,True,274,False,355000.0,HOUSE,2288,Grobbendonk,INSTALLED,GOOD,4.0
473,VILLA,3,203,False,40.0,True,True,2000,False,550000.0,HOUSE,4910,Theux,USA_INSTALLED,AS_NEW,4.0
489,HOUSE,4,160,False,20.0,True,True,55,False,329000.0,HOUSE,9000,Gent,INSTALLED,TO_BE_DONE_UP,2.0
507,HOUSE,2,144,False,12.0,True,True,127,False,265000.0,HOUSE,2830,Willebroek,INSTALLED,GOOD,2.0
565,COUNTRY_COTTAGE,3,228,False,50.0,True,True,1900,False,470000.0,HOUSE,6929,Daverdisse Gembes,INSTALLED,AS_NEW,4.0
